Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Literary;907;1392;17;406;0.31016557566422803;1.0;0.233;0.647;0.12;48.01802257225575;13.0;;0.0;268.0;5.0;131776
Literary;2662;5376;88;414;0.154545039492307;1.0;0.175;0.6759999999999999;0.149;49.838924054460705;15.0;3.0;2.0;1138.0;60.0;517979
Literary;3825;8394;156;2043;0.15884660971921366;1.0;0.205;0.636;0.158;45.613850303130725;26.0;14.0;5.0;1041.0;35.0;614344
Literary;2427;2804;82;1462;0.13191205862758162;1.0;0.209;0.633;0.159;61.78041768743989;16.0;8.0;1.0;477.0;12.0;346980
Literary;1779;3662;19;534;0.1700244774995293;0.9999;0.154;0.7090000000000001;0.13699999999999998;40.5039377074861;19.0;4.0;0.0;416.0;7.0;326503
Detective and Mystery;5000;13527;441;1256;0.11225495741551787;1.0;0.21600000000000003;0.642;0.142;42.90006613071949;55.0;9.0;2.0;1939.0;74.0;875128
Literary;627;1992;137;493;0.2813894478957039;1.0;0.207;0.6809999999999999;0.11199999999999999;58.27442750140202;5.0;3.0;1.0;259.0;4.0;142556
Literary;3499;12644;53;1519;0.10193602209309016;1.0;0.21;0.667;0.12300000000000001;53.21496568375429;64.0;22.0;4.0;1510.0;29.0;843995
Literary;2933;12369;248;2178;0.13396907567604385;1.0;0.183;0.6579999999999999;0.159;49.61632807957392;46.0;11.0;13.0;1814.0;31.0;888274
Literary;5975;12539;174;2379;0.10046257251654783;1.0;0.213;0.669;0.11800000000000001;50.21242503713734;50.0;18.0;1.0;2233.0;27.0;986529
Literary;1253;4949;87;1383;0.13715810207694418;1.0;0.183;0.6679999999999999;0.149;60.79887100441658;28.0;5.0;3.0;1115.0;24.0;473790
Literary;952;4645;17;916;0.19263005269300135;1.0;0.157;0.703;0.14;52.26201018602623;17.0;9.0;0.0;761.0;7.0;335546
Literary;2733;5665;39;1714;0.14480573530596352;1.0;0.22899999999999998;0.677;0.094;60.036548951378315;17.0;7.0;1.0;864.0;14.0;467670
Literary;864;3703;55;493;0.19218256626160174;1.0;0.22;0.6809999999999999;0.1;46.894668925828064;10.0;4.0;1.0;557.0;9.0;249994
Literary;2315;5576;113;581;0.15749331655920742;1.0;0.276;0.611;0.113;48.636400039996566;20.0;10.0;1.0;778.0;6.0;472279
Literary;503;2006;36;320;0.2183881018164717;1.0;0.22699999999999998;0.634;0.139;58.844883263288864;14.0;4.0;1.0;483.0;9.0;207651
Western Stories;2248;4593;57;717;0.18215838107026688;1.0;0.218;0.645;0.13699999999999998;53.10977519069886;13.0;8.0;2.0;789.0;12.0;429615
Literary;1789;6849;118;1689;0.183225969432866;1.0;0.237;0.647;0.11599999999999999;45.06685366706014;27.0;6.0;1.0;751.0;33.0;466865
Literary;1803;5443;231;1107;0.17793131957362626;1.0;0.21;0.69;0.1;48.05053762647623;38.0;6.0;0.0;1007.0;15.0;421314
Literary;1793;4281;20;698;0.16436313817141476;1.0;0.21100000000000002;0.675;0.115;41.07787335566397;17.0;6.0;0.0;546.0;12.0;311008
Detective and Mystery;816;2142;86;303;0.17651399356980976;1.0;0.17600000000000002;0.688;0.136;52.92018571162661;18.0;3.0;2.0;379.0;7.0;232266
Detective and Mystery;230;837;16;251;0.2806746093145598;-0.9014;0.195;0.613;0.192;45.77795981602602;3.0;3.0;0.0;102.0;1.0;80609
Literary;1637;3740;72;1099;0.2255870609731339;1.0;0.175;0.706;0.11900000000000001;40.942633526292894;32.0;7.0;3.0;737.0;20.0;364443
