guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Literary,143,723,39,132,0.393,0.260,0.613,0.127,49.238,4,1,2,80,5,61816
Literary,274,1197,51,300,0.327,0.252,0.596,0.152,40.756,2,3,0,175,1,107740
Literary,359,1381,74,245,0.297,0.205,0.648,0.147,55.679,7,,1,215,3,109476
Literary,1413,8376,10,1025,0.164,0.242,0.594,0.164,46.018,22,8,0,999,17,489972
Sea and Adventure,1111,7978,35,1600,0.146,0.159,0.702,0.139,37.752,55,12,4,1223,13,576440
Literary,1493,4203,29,678,0.203,0.223,0.655,0.122,40.262,16,6,2,799,15,420061
Literary,1856,4674,71,499,0.164,0.207,0.672,0.121,64.854,12,4,2,684,29,345018
Literary,159,851,22,89,0.366,0.188,0.689,0.123,51.413,6,1,0,121,,59633
Literary,244,686,19,197,0.329,0.149,0.743,0.107,58.854,1,,0,122,2,53874
Literary,2889,4529,40,1364,0.151,0.235,0.678,0.087,66.295,22,7,1,813,11,447342
Literary,273,794,15,157,0.433,0.257,0.620,0.122,44.284,2,3,2,106,5,55834
Literary,1934,4488,71,1159,0.098,0.198,0.723,0.079,81.687,33,26,1,996,30,363470
Literary,239,1219,7,322,0.387,0.163,0.715,0.122,47.962,5,5,0,230,6,96888
Literary,160,1179,7,336,0.389,0.158,0.718,0.124,49.049,4,8,1,209,29,91595
Literary,284,2084,14,579,0.335,0.190,0.679,0.131,39.707,13,2,1,367,26,164532
Literary,283,926,9,249,0.375,0.145,0.708,0.148,57.005,4,2,0,175,13,74629
Literary,284,1255,10,421,0.352,0.165,0.702,0.133,53.949,5,4,0,215,17,103577
Literary,3054,7911,270,3159,0.140,0.211,0.693,0.096,54.463,72,26,3,1374,48,720172
